SHIPMENT_ID,SHIPMENT_LINE_ID,PO_ID,SUPPLIER_ID,WAREHOUSE_ID,ITEM_ID,SHIPMENT_DATE,EXPECTED_ARRIVAL_DATE,ACTUAL_ARRIVAL_DATE,QUANTITY_SHIPPED,QUANTITY_DAMAGED,CARRIER,TRACKING_NUMBER,SHIPMENT_STATUS,FREIGHT_COST_USD
SHP004580,SHPL004580,PO001761,SUP032,WH009,ITM0094,2023-08-26,2023-09-18,2023-08-30,88,4,DHL,,IN_TRANSIT,3655.01
SHP000024,SHPL000024,PO005408,SUP041,WH001,ITM0087,2022-01-30,2022-02-04,2022-02-01,165,3,BlueDart,TRK4825084,LOST,4969.12
SHP004751,SHPL004751,PO012160,SUP003,WH020,ITM0094,2023-10-24,2023-11-03,2023-11-11,28,0,DHL,TRK1524461,RETURNED,498.91
SHP001058,SHPL001058,PO015883,SUP040,WH020,ITM0084,2024-08-17,2024-09-06,2024-09-11,59,3,UPS,TRK2679413,LOST,3720.49
SHP002810,SHPL002810,PO007007,SUP009,WH014,ITM0105,2024-09-27,2024-10-20,2024-10-06,48,2,Aramex,TRK1480159,IN_TRANSIT,2700.09
SHP001321,SHPL001321,PO005432,SUP041,WH003,ITM0068,2023-08-31,2023-09-10,2023-09-11,161,9,DHL,TRK8142304,LOST,4125.34
SHP002694,SHPL002694,PO010822,SUP041,WH017,ITM0136,2024-03-05,2024-03-13,2024-04-01,196,8,DHL,TRK5067373,,4233.53
SHP003528,SHPL003528,PO012328,SUP005,WH013,ITM0048,2024-01-30,2024-02-21,2024-02-06,132,10,,TRK3874464,LOST,1609.75
SHP003303,SHPL003303,PO015618,SUP039,WH004,ITM0042,2022-07-02,2022-07-08,2022-07-30,123,8,BlueDart,TRK4143583,DELIVERED,1012.95
SHP002168,SHPL002168,PO002816,SUP007,WH020,ITM0129,2022-09-05,2022-09-23,2022-09-20,176,8,,TRK6823625,DELIVERED,3142.67
SHP000405,SHPL000405,PO000465,SUP032,WH004,ITM0029,2024-02-19,2024-02-25,2024-02-29,195,0,Aramex,TRK1110223,RETURNED,1192.21
SHP002470,SHPL002470,PO002361,SUP044,WH001,ITM0070,2024-11-28,2024-12-01,2024-12-22,68,6,Aramex,TRK5693846,DELIVERED,
SHP001622,SHPL001622,PO019352,SUP039,WH016,ITM0112,2023-01-24,2023-02-17,2023-02-05,154,3,UPS,TRK6405447,,4816.67
SHP003663,SHPL003663,PO010402,SUP041,WH011,ITM0088,2023-05-10,2023-05-12,2023-06-06,59,5,Aramex,TRK4332227,LOST,2406.89
SHP002740,SHPL002740,PO012578,SUP043,WH009,ITM0070,2024-01-17,2024-01-29,2024-02-12,161,10,UPS,TRK1934290,IN_TRANSIT,1585.53
SHP000438,SHPL000438,PO004707,SUP020,WH013,ITM0023,2022-06-19,2022-07-12,2022-07-01,132,13,UPS,,LOST,1938.0
SHP004197,SHPL004197,PO015862,SUP020,WH015,ITM0038,2023-02-14,2023-02-25,2023-03-11,101,8,FedEx,TRK6750767,DELAYED,3220.74
SHP000592,SHPL000592,PO018354,SUP027,WH016,ITM0098,2024-06-28,2024-07-05,2024-07-21,187,15,UPS,TRK3323739,IN_TRANSIT,551.9
SHP004648,SHPL004648,PO014161,SUP016,WH009,ITM0015,2022-06-30,2022-07-01,2022-07-29,178,17,DHL,TRK4187410,DELAYED,2014.49
SHP004218,SHPL004218,PO017931,SUP025,WH016,ITM0028,2023-02-11,2023-02-28,2023-03-04,24,1,DHL,TRK1844472,IN_TRANSIT,3670.49
SHP003117,SHPL003117,PO006306,SUP008,WH004,ITM0116,2024-06-15,2024-06-26,2024-07-01,189,15,DHL,TRK1218551,RETURNED,4023.25
SHP002794,SHPL002794,PO019654,SUP042,WH017,ITM0078,2024-11-23,2024-12-01,2024-12-10,123,2,UPS,TRK1947244,LOST,593.76
SHP003425,SHPL003425,PO015390,SUP033,WH004,ITM0139,2023-09-01,2023-09-24,2023-09-16,200,17,UPS,TRK7843164,DELAYED,3358.15
SHP003617,SHPL003617,PO005592,SUP044,WH009,ITM0077,2024-09-02,2024-09-05,2024-09-06,154,13,Aramex,TRK9562616,LOST,2050.36
SHP003124,SHPL003124,PO014160,SUP030,WH008,ITM0053,2023-01-18,2023-02-08,2023-02-06,63,5,UPS,TRK4421603,LOST,3107.0
SHP000090,SHPL000090,PO008945,SUP046,WH002,ITM0030,2022-09-18,2022-10-06,2022-09-19,153,0,UPS,TRK7557565,DELAYED,3780.5
SHP001113,SHPL001113,PO012292,SUP019,WH018,ITM0026,2023-08-29,2023-09-03,2023-09-17,184,18,Aramex,TRK3097932,RETURNED,3595.05
SHP004399,SHPL004399,PO000227,SUP042,WH013,ITM0129,2022-12-25,2023-01-14,2023-01-04,31,2,UPS,TRK4706511,LOST,3397.14
SHP000357,SHPL000357,PO015327,SUP022,WH017,ITM0144,2022-04-14,2022-05-07,2022-05-08,95,2,DHL,TRK6223891,RETURNED,4082.95
SHP001860,SHPL001860,PO005180,SUP011,WH009,ITM0025,2024-11-15,2024-12-01,2024-12-03,140,13,DHL,TRK2944953,DELAYED,4012.85
SHP002214,SHPL002214,PO012088,SUP038,WH013,ITM0041,2022-01-24,2022-02-18,2022-02-18,2,0,UPS,TRK4916488,LOST,4624.53
SHP000391,SHPL000391,PO007648,SUP041,WH010,ITM0091,2024-09-22,2024-09-30,2024-10-04,35,3,BlueDart,TRK4955186,RETURNED,4773.12
SHP000831,SHPL000831,PO004691,SUP008,WH015,ITM0123,2023-01-16,2023-02-09,2023-02-11,-1,1,Aramex,TRK5107231,INVALID,1560.23
SHP004356,SHPL004356,PO006248,SUP024,WH001,ITM0132,,2022-05-22,2022-06-03,192,12,DHL,TRK3224076,IN_TRANSIT,481.86
SHP003297,SHPL003297,PO018971,SUP041,WH015,ITM0111,2023-07-27,2023-08-18,2023-08-25,151,11,INVALID,TRK9989627,DELAYED,2074.14
SHP000404,SHPL000404,PO009476,SUP048,WH001,ITM0102,2024-08-31,2024-09-25,2024-09-28,-1,3,FedEx,TRK3425586,DELAYED,1259.32
SHP004981,SHPL004981,PO016256,SUP011,WH003,ITM0130,2022-02-04,2022-02-21,2022-02-28,124,1,UPS,TRK4926834,DELIVERED,1308.18
SHP002608,SHPL002608,PO013140,SUP010,WH015,ITM0079,2022-05-29,2022-06-05,2022-06-11,46,4,UPS,TRK9173891,LOST,450.98
SHP003991,SHPL003991,PO013271,SUP025,WH018,ITM0134,2023-11-27,2023-12-18,2023-12-25,147,12,DHL,TRK4865371,LOST,4884.53
SHP004327,SHPL004327,PO009752,SUP015,WH003,ITM0117,2023-03-24,2023-03-29,2023-04-14,60,3,Aramex,TRK6533836,INVALID,2223.43
SHP001317,SHPL001317,PO005498,SUP034,WH008,ITM0047,2024-07-13,2024-07-23,2024-07-26,184,3,FedEx,TRK7544745,RETURNED,1767.95
SHP001169,SHPL001169,PO010444,SUP012,WH006,ITM0143,2022-12-08,2022-12-19,2022-12-21,52,0,FedEx,TRK1840230,RETURNED,1648.42
SHP001454,SHPL001454,PO015295,SUP035,WH009,ITM0035,2024-08-17,2024-09-05,2024-08-27,168,14,UPS,TRK4113784,RETURNED,1752.5
SHP000526,SHPL000526,PO009826,SUP033,WH004,ITM0037,2022-03-15,2022-03-30,2022-04-10,123,12,BlueDart,TRK3386278,IN_TRANSIT,394.62
SHP003260,SHPL003260,PO011836,SUP025,WH002,ITM0011,2023-03-06,2023-03-22,2023-03-07,135,12,DHL,TRK5092681,RETURNED,1300.91
SHP000470,SHPL000470,PO012006,SUP021,WH003,ITM0027,2022-07-15,2022-07-25,2022-08-13,149,1,Aramex,TRK3648753,DELIVERED,2092.85
SHP003538,SHPL003538,PO013690,SUP048,WH001,ITM0016,2024-09-08,2024-09-23,2024-09-10,44,2,,INVALID,LOST,2353.66
SHP004546,SHPL004546,PO004550,SUP022,WH003,ITM0084,2023-07-29,2023-08-07,2023-08-04,13,1,FedEx,TRK5107227,DELAYED,1825.07
SHP004851,SHPL004851,PO006779,SUP006,WH019,ITM0093,2024-02-28,2024-03-13,2024-03-29,143,2,FedEx,TRK1749388,DELAYED,2711.5
SHP001213,SHPL001213,PO006918,SUP014,WH001,ITM0009,2023-08-06,2023-08-22,2023-09-03,34,0,BlueDart,TRK5893652,RETURNED,572.66
SHP003695,SHPL003695,PO008404,SUP017,WH019,ITM0039,2023-10-27,2023-11-19,2023-10-28,29,2,FedEx,TRK6528064,DELAYED,3213.28
SHP002821,SHPL002821,PO008520,SUP018,WH011,ITM0102,2022-11-27,2022-12-04,2022-12-14,91,3,Aramex,TRK7720680,DELAYED,2807.02
SHP004951,SHPL004951,PO006914,SUP032,WH014,ITM0021,2024-05-17,2024-05-23,2024-05-18,108,3,UPS,TRK7933576,LOST,3473.74
SHP001427,SHPL001427,PO016724,SUP018,WH017,ITM0125,2022-05-24,2022-06-12,2022-06-02,103,8,UPS,TRK1895258,IN_TRANSIT,1539.2
SHP002495,SHPL002495,PO010419,SUP031,WH004,ITM0069,2024-05-22,2024-06-12,2024-06-10,41,4,Aramex,TRK1414389,RETURNED,3559.47
SHP004763,SHPL004763,PO004632,SUP031,WH014,ITM0078,2024-06-06,2024-06-18,2024-06-15,161,5,UPS,TRK5126676,DELIVERED,4914.98
SHP000937,SHPL000937,PO001531,SUP021,WH008,ITM0145,2024-07-07,2024-07-21,2024-08-05,197,1,DHL,TRK9930295,DELAYED,4432.5
SHP001210,SHPL001210,PO007497,SUP023,WH009,ITM0048,2022-04-08,2022-04-26,2022-04-25,27,0,UPS,TRK2482436,LOST,1684.4
SHP004341,SHPL004341,PO015510,SUP005,WH010,ITM0084,2023-01-10,2023-02-01,2023-01-17,17,0,Aramex,TRK9555030,LOST,1548.76
SHP004774,SHPL004774,PO018097,SUP031,WH017,ITM0071,2024-12-05,2024-12-30,2024-12-17,116,11,BlueDart,TRK4556106,RETURNED,3273.08
SHP003314,SHPL003314,PO012655,SUP019,WH017,ITM0051,2024-01-19,2024-02-07,2024-01-31,20,0,FedEx,TRK8534677,DELIVERED,4153.65
SHP000481_DUP,SHPL000481_DUP,PO007573,SUP048,WH017,ITM0150,2024-10-07,2024-10-20,2024-10-13,169,11,DHL,TRK8147585,DELAYED,1144.0
SHP002710,SHPL002710,PO006592,SUP037,WH013,ITM0114,2023-08-23,2023-09-08,2023-09-03,79,3,BlueDart,TRK9563675,IN_TRANSIT,4522.88
SHP001105,SHPL001105,PO015661,SUP049,WH018,ITM0073,2022-09-15,2022-10-09,2022-10-01,15,0,Aramex,TRK6534529,DELIVERED,4968.69
SHP000773,SHPL000773,PO000206,SUP021,WH006,ITM0066,2022-03-31,2022-04-01,2022-04-28,109,1,FedEx,TRK1523708,DELIVERED,3321.85
SHP002401,SHPL002401,PO012315,SUP021,WH019,ITM0024,2024-08-08,2024-08-31,2024-08-11,-1,5,Aramex,TRK7851176,DELAYED,2872.94
SHP004902,SHPL004902,PO019868,SUP029,WH014,ITM0103,2024-06-26,2024-07-04,2024-07-03,78,7,FedEx,TRK1013774,IN_TRANSIT,925.55
SHP003289,SHPL003289,PO018456,SUP018,WH002,ITM0106,2024-08-12,2024-09-03,2024-09-08,87,5,FedEx,TRK4480206,RETURNED,2990.27
SHP001951,SHPL001951,PO007581,SUP004,WH010,ITM0012,2022-09-02,2022-09-10,2022-09-12,168,16,DHL,TRK8386825,DELAYED,2260.24
SHP003930,SHPL003930,PO011865,SUP025,WH014,ITM0054,2024-09-29,2024-10-21,2024-10-16,104,10,FedEx,TRK5548791,DELAYED,451.5
SHP004821,SHPL004821,PO004477,SUP025,WH011,ITM0068,2023-12-06,2023-12-21,2023-12-07,87,8,UPS,TRK5510950,LOST,2316.8
SHP000934,SHPL000934,PO012791,SUP008,WH007,ITM0002,2023-02-06,2023-02-22,2023-03-02,66,6,UPS,TRK4872032,DELIVERED,170.95
SHP003814,SHPL003814,PO017022,SUP018,WH013,ITM0066,2024-05-07,2024-05-20,2024-05-15,81,7,Aramex,TRK7794260,DELIVERED,3221.25
SHP000057,SHPL000057,PO001089,SUP023,WH011,ITM0070,2022-10-30,2022-11-17,2022-11-18,166,0,UPS,TRK8647285,RETURNED,4610.75
SHP001071,SHPL001071,PO004384,SUP018,WH001,ITM0031,INVALID,2022-04-13,2022-04-16,200,19,FedEx,TRK5848279,DELAYED,3196.88
SHP003609,SHPL003609,PO005222,SUP009,WH002,ITM0106,2022-03-27,2022-04-07,2022-04-13,27,0,UPS,TRK1255349,IN_TRANSIT,3517.94
SHP002727,SHPL002727,PO002134,SUP032,WH013,ITM0126,2023-10-30,2023-11-04,2023-11-12,48,0,BlueDart,TRK7944409,RETURNED,2046.38
SHP002760,SHPL002760,PO008368,SUP033,WH012,ITM0014,2022-05-07,2022-05-28,2022-05-10,36,1,BlueDart,TRK8116362,LOST,2418.41
SHP000378_DUP,SHPL000378_DUP,PO009642,SUP040,WH019,ITM0008,2022-06-01,2022-06-17,2022-06-23,84,6,FedEx,TRK7751600,DELAYED,988.32
SHP003204,SHPL003204,PO006202,SUP006,WH012,ITM0008,2022-04-12,2022-05-05,2022-05-09,3,0,BlueDart,TRK3103985,RETURNED,2288.46
SHP004685,SHPL004685,PO012577,SUP026,WH015,ITM0041,2022-08-23,2022-08-31,2022-09-03,157,10,UPS,TRK1835334,DELAYED,3273.28
SHP002806,SHPL002806,PO008793,SUP014,WH016,ITM0091,2024-09-28,2024-10-17,2024-10-27,37,2,UPS,TRK4939266,RETURNED,632.69
SHP004936,SHPL004936,PO011020,SUP023,WH016,ITM0078,2022-04-22,2022-05-01,2022-05-10,112,8,Aramex,TRK8968141,DELAYED,1937.19
SHP000754,SHPL000754,PO015378,SUP013,WH019,ITM0101,2023-10-13,2023-10-30,2023-10-25,15,1,BlueDart,TRK9132642,IN_TRANSIT,4515.72
SHP004083,SHPL004083,PO013276,SUP022,WH001,ITM0115,2024-08-27,2024-08-28,2024-09-20,117,0,Aramex,TRK7890942,IN_TRANSIT,2368.73
SHP004524,SHPL004524,PO006801,SUP018,WH008,ITM0014,2022-04-16,2022-04-23,2022-04-21,119,2,Aramex,TRK8835091,DELAYED,608.45
SHP004867,SHPL004867,PO003864,SUP001,WH016,ITM0023,2023-03-14,2023-04-07,2023-04-01,123,1,FedEx,TRK8050059,RETURNED,1172.31
SHP002351,SHPL002351,PO004150,SUP009,WH012,ITM0065,2022-04-06,2022-04-29,2022-05-05,190,4,Aramex,TRK7970546,RETURNED,1429.09
SHP004812,SHPL004812,PO010522,SUP031,WH013,ITM0093,2022-02-17,2022-02-27,2022-03-12,165,8,UPS,TRK3442214,DELAYED,3088.21
SHP001521,SHPL001521,PO017814,SUP046,WH007,ITM0133,2024-04-27,2024-05-20,2024-05-06,123,7,FedEx,TRK9349763,RETURNED,2495.79
SHP004089,SHPL004089,PO019443,SUP011,WH015,ITM0103,2024-03-31,2024-04-16,2024-04-06,101,3,BlueDart,TRK6634339,DELIVERED,
SHP001720,SHPL001720,PO007195,SUP003,WH017,ITM0075,2023-10-15,2023-10-26,2023-10-17,123,5,Aramex,TRK5011865,RETURNED,659.67
SHP000307,SHPL000307,PO009838,SUP043,WH013,ITM0066,2022-10-10,2022-11-04,2022-10-27,1,0,FedEx,,LOST,908.25
SHP003990,SHPL003990,PO004997,SUP025,WH009,ITM0083,2024-02-05,2024-02-15,2024-02-10,64,2,DHL,INVALID,DELAYED,1887.5
SHP003358,SHPL003358,PO014372,SUP039,WH011,ITM0070,2024-11-21,2024-12-09,2024-11-26,24,1,UPS,TRK3059019,LOST,4483.49
SHP003025,SHPL003025,PO004575,SUP029,WH007,ITM0083,2022-08-20,2022-08-23,2022-08-23,157,12,BlueDart,TRK4247475,IN_TRANSIT,4241.83
SHP004799,SHPL004799,PO016502,SUP036,WH010,ITM0057,2023-11-01,2023-11-04,2023-11-06,191,0,UPS,TRK5358829,DELIVERED,4933.94
SHP004748,SHPL004748,PO013575,SUP003,WH020,ITM0102,2023-05-04,2023-05-26,2023-05-23,51,2,FedEx,TRK7866093,RETURNED,1078.98
SHP002179,SHPL002179,PO013783,SUP027,WH004,ITM0083,2024-06-01,2024-06-13,2024-06-03,174,17,Aramex,TRK4500602,RETURNED,2812.94
SHP004835,SHPL004835,PO012345,SUP028,WH017,ITM0026,2022-08-02,2022-08-20,2022-08-16,37,1,Aramex,TRK9906899,IN_TRANSIT,2381.93
SHP003704,SHPL003704,PO014432,SUP016,WH014,ITM0041,2023-03-13,2023-04-03,2023-03-27,175,4,FedEx,TRK4066843,DELAYED,261.94
SHP004185,SHPL004185,PO015333,SUP029,WH001,ITM0111,2022-09-16,2022-09-28,2022-10-01,117,11,UPS,TRK3730091,RETURNED,3153.84
SHP001596,SHPL001596,PO000609,SUP040,WH002,ITM0023,2024-04-16,2024-04-22,2024-04-22,47,4,DHL,TRK9904621,DELAYED,1179.33
SHP004487,SHPL004487,PO009435,SUP006,WH003,ITM0092,2024-01-28,2024-02-17,2024-02-19,89,4,UPS,TRK9618291,DELIVERED,2743.57
SHP002340,SHPL002340,PO011597,SUP048,WH014,ITM0088,2024-02-21,2024-03-16,2024-02-29,98,5,UPS,TRK1519076,RETURNED,2155.84
SHP002344,SHPL002344,PO013309,SUP001,WH004,ITM0064,2024-02-09,2024-02-29,2024-02-25,176,17,DHL,TRK6710473,DELIVERED,2704.23
SHP001128,SHPL001128,PO017468,SUP041,WH018,ITM0141,2023-02-22,2023-03-09,2023-03-09,56,5,FedEx,TRK2838102,IN_TRANSIT,3920.44
SHP001802,SHPL001802,PO018284,SUP024,WH009,ITM0042,2022-12-07,2022-12-30,2022-12-25,196,19,FedEx,TRK3739430,LOST,INVALID
SHP001846,SHPL001846,PO018757,SUP038,WH020,ITM0006,2024-12-18,2024-12-28,2024-12-31,13,0,BlueDart,TRK3391522,LOST,484.16
SHP004159,SHPL004159,PO012662,SUP006,WH009,ITM0144,2022-10-18,2022-10-30,2022-10-26,146,7,UPS,TRK2668317,RETURNED,697.55
SHP003108,SHPL003108,PO010077,SUP022,WH003,ITM0135,2024-06-03,2024-06-10,2024-06-19,149,14,DHL,TRK9796854,IN_TRANSIT,1828.4
SHP004986,SHPL004986,PO018558,SUP030,WH002,ITM0064,2024-09-03,2024-09-18,2024-09-07,197,19,FedEx,TRK3893967,DELAYED,1639.98
SHP000477,SHPL000477,PO013028,SUP003,WH018,ITM0052,2024-06-04,2024-06-15,2024-06-27,162,8,BlueDart,TRK4863133,LOST,4506.54
SHP001046,SHPL001046,PO004255,SUP039,WH003,ITM0005,2023-02-02,2023-02-25,2023-02-16,12,1,Aramex,TRK4349854,RETURNED,1836.14
SHP004699,SHPL004699,PO002111,SUP043,WH019,ITM0084,2023-06-03,2023-06-17,2023-06-10,108,6,UPS,TRK9855444,IN_TRANSIT,2624.97
SHP003582,SHPL003582,PO002823,SUP033,WH009,ITM0069,2022-12-02,2022-12-19,2022-12-07,70,5,FedEx,TRK4901361,DELAYED,4672.06
SHP002953,SHPL002953,PO015378,SUP025,WH010,ITM0056,2023-01-25,2023-01-26,2023-02-15,6,0,Aramex,TRK8034156,DELIVERED,2858.83
SHP002750,SHPL002750,PO015629,SUP032,WH011,ITM0013,2022-05-06,2022-05-13,2022-05-29,136,10,UPS,TRK1929125,LOST,52.66
SHP004062,SHPL004062,PO005645,SUP013,WH007,ITM0046,2022-05-27,2022-06-20,2022-06-04,147,0,BlueDart,TRK5756664,DELAYED,3440.21
SHP001732,SHPL001732,PO015539,SUP013,WH015,ITM0025,2023-11-02,2023-11-25,2023-11-07,73,5,UPS,TRK9685819,IN_TRANSIT,1705.02
SHP003520,SHPL003520,PO009458,SUP050,WH019,ITM0045,2022-12-17,2022-12-26,2022-12-21,163,7,Aramex,TRK3325923,IN_TRANSIT,4244.05
SHP003915,SHPL003915,PO013015,SUP005,WH008,ITM0091,2024-03-01,2024-03-10,2024-03-20,192,0,FedEx,TRK4749516,LOST,2989.94
SHP002112,SHPL002112,PO001319,SUP050,WH007,ITM0083,2023-02-18,2023-03-01,2023-03-11,18,0,BlueDart,TRK5241060,IN_TRANSIT,2974.01
SHP000551,SHPL000551,PO010590,SUP003,WH013,ITM0090,2022-05-08,2022-06-02,2022-05-09,4,0,UPS,TRK5418484,LOST,1745.41
SHP001286,SHPL001286,PO010087,SUP027,WH008,ITM0104,2024-10-07,2024-10-21,2024-10-27,33,0,DHL,TRK9967864,LOST,923.32
SHP000278,SHPL000278,PO010070,SUP029,WH017,ITM0093,2022-03-13,2022-03-23,2022-04-08,154,6,FedEx,TRK5065840,IN_TRANSIT,3427.36
SHP003099,SHPL003099,PO012320,SUP015,WH014,ITM0033,2024-08-20,2024-08-26,2024-08-22,151,8,,TRK7397545,IN_TRANSIT,4349.09
SHP003185,SHPL003185,PO018687,SUP005,WH005,ITM0063,2022-01-31,2022-02-06,2022-02-15,30,1,FedEx,TRK9588758,DELIVERED,2406.37
SHP000510,SHPL000510,PO016123,SUP030,WH012,ITM0096,2023-06-03,2023-06-28,2023-06-10,131,2,Aramex,TRK4933111,,4907.14
SHP004411,SHPL004411,PO004374,SUP004,WH006,ITM0033,2024-09-13,2024-09-26,2024-09-16,130,0,BlueDart,TRK4203365,LOST,1060.45
SHP001137,SHPL001137,PO014498,SUP023,WH003,ITM0109,2024-09-30,2024-10-15,2024-10-24,130,6,BlueDart,TRK6644558,LOST,1942.63
SHP002548,SHPL002548,PO019388,SUP046,WH016,ITM0098,2022-04-15,2022-04-22,2022-04-26,176,9,BlueDart,TRK4134912,IN_TRANSIT,4804.82
