PO_ID,PO_LINE_ID,SUPPLIER_ID,ITEM_ID,CUSTOMER_ID,WAREHOUSE_ID,CURRENCY_CODE,ORDER_DATE,EXPECTED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,STATUS,QUANTITY_ORDERED,QUANTITY_RECEIVED,UNIT_PRICE_ORIG,UNIT_COST_ORIG,TOTAL_AMOUNT_ORIG,DISCOUNT_PCT,PAYMENT_STATUS,INVOICE_NUMBER,NOTES
PO009753,POL009753,SUP002,ITM0144,CUST0002,WH013,EUR,2023-10-29,2023-11-09,2023-11-07,APPROVED,380,37,1388.34,1033.56,527569.2,2.81,PARTIAL,INV557092,Urgent
PO009509,POL009509,SUP033,ITM0112,CUST0001,WH018,INR,2024-07-04,2024-08-27,,SHIPPED,159,23,366.67,251.59,58300.53,17.0,PARTIAL,INV404129,Quality issue
PO013900,POL013900,SUP046,ITM0044,CUST0081,WH017,GBP,2023-12-18,2024-01-15,2024-01-14,CANCELLED,,17,2911.85,1708.46,235859.85,3.18,PAID,INV731389,
PO001437,POL001437,SUP020,ITM0059,CUST0056,WH013,MXN,2022-01-15,2022-01-22,2022-01-18,PARTIALLY_DELIVERED,467,435,4287.07,2355.7,2002061.69,13.45,UNPAID,INV428884,Partial shipment
PO012334,POL012334,SUP024,ITM0035,CUST0003,WH002,JPY,2024-01-08,2024-03-03,2024-02-27,DELIVERED,40,2,4870.77,3524.04,194830.8,12.57,OVERDUE,INV906964,Partial shipment
PO008166,POL008166,SUP016,ITM0076,CUST0020,WH005,AUD,2024-05-24,2024-07-18,,APPROVED,173,135,4718.52,2700.69,816303.96,4.37,PAID,INV942018,Quality issue
PO013364,POL013364,SUP032,ITM0099,CUST0092,WH016,MXN,2023-07-07,2023-07-24,2023-07-31,DELIVERED,350,251,844.72,539.56,295652.0,8.67,UNPAID,INV884862,
PO013102,POL013102,SUP016,ITM0145,CUST0049,WH007,INR,2022-10-19,2022-10-22,2022-11-02,PENDING,205,0,3730.21,2131.9,764693.05,12.73,OVERDUE,INV161836,
PO015317,POL015317,SUP043,ITM0044,CUST0033,WH017,GBP,2023-03-20,2023-04-18,2023-04-30,SHIPPED,274,27,2719.71,1743.01,745200.54,1.6,OVERDUE,INV895744,Urgent
PO016934,POL016934,SUP011,ITM0137,CUST0082,WH010,JPY,2023-07-22,2023-08-02,2023-08-05,PENDING,266,0,3538.11,2419.47,941137.26,8.52,PAID,INV195258,Quality issue
PO004851,POL004851,SUP042,ITM0126,CUST0022,WH009,CAD,2023-04-10,2023-05-25,2023-06-08,PENDING,47,0,3299.27,2529.79,155065.69,15.43,PARTIAL,INV356151,Quality issue
PO014216,POL014216,SUP033,ITM0144,CUST0010,WH005,AUD,2022-08-13,2022-09-26,2022-09-22,DELIVERED,281,150,4491.68,2909.92,1262162.08,12.39,PAID,INV801624,
PO004207,POL004207,SUP035,ITM0138,CUST0057,WH005,GBP,2024-08-10,2024-09-26,,PENDING,387,0,3190.86,1622.36,1234862.82,0.93,OVERDUE,INV477433,Partial shipment
PO019267,POL019267,SUP016,ITM0053,CUST0053,WH008,CAD,2022-12-22,2023-02-11,,DELIVERED,361,206,2146.22,1354.3,774785.42,7.7,PAID,INV613296,Partial shipment
PO019035,POL019035,SUP013,ITM0051,CUST0060,WH010,EUR,2022-11-14,2022-11-22,,APPROVED,424,394,2789.89,2060.48,1182913.36,19.09,UNPAID,INV829816,
PO008663,POL008663,SUP034,ITM0069,CUST0073,WH007,MXN,-999,2022-09-17,2022-09-27,DELIVERED,58,11,1216.21,758.48,70540.18,4.11,UNPAID,INV159886,
PO015736,POL015736,SUP038,ITM0104,CUST0017,WH001,GBP,2023-11-10,2023-12-24,2023-12-26,PARTIALLY_DELIVERED,110,88,807.17,520.94,88788.7,7.94,PAID,INV583281,
PO013659,POL013659,SUP017,ITM0114,CUST0098,WH016,AUD,2023-02-06,2023-03-08,,SHIPPED,177,171,1955.35,1222.9,346096.95,13.6,PAID,INV468617,Quality issue
PO004635,POL004635,SUP006,ITM0034,CUST0026,WH011,USD,2022-12-28,2023-02-24,2023-03-01,APPROVED,177,143,1225.34,756.45,216885.18,5.31,PARTIAL,INV261309,
PO017406,POL017406,SUP021,ITM0098,CUST0012,WH010,INR,2024-09-06,2024-09-13,2024-09-12,PENDING,200,0,2248.08,1641.76,449616.0,16.14,OVERDUE,INV332658,Partial shipment
PO005708,POL005708,SUP004,ITM0077,CUST0051,WH018,EUR,2023-04-10,2023-05-22,,CANCELLED,285,151,675.5,404.52,192517.5,16.49,PARTIAL,INV931987,
PO012210,POL012210,SUP027,ITM0054,CUST0085,WH009,MXN,2022-07-10,2022-08-03,2022-08-03,SHIPPED,473,436,4836.3,2857.63,2287569.9,6.37,PARTIAL,INV734579,
PO011267,POL011267,SUP015,ITM0068,CUST0078,WH012,CAD,2022-04-26,2022-06-12,2022-06-10,SHIPPED,239,8,220.02,167.06,52584.78,0.4,PAID,INV807520,
PO001646,POL001646,SUP045,ITM0037,CUST0088,WH012,GBP,2022-01-11,2022-03-08,2022-03-08,CANCELLED,269,172,4255.34,2542.59,1144686.46,14.85,PARTIAL,INV431732,
PO001178_DUP,POL001178_DUP,SUP017,ITM0141,CUST0066,WH015,AUD,2024-11-10,2024-12-21,2025-01-05,CANCELLED,86,52,2027.91,1348.52,174400.26,4.11,PAID,INV263110,
PO003630,POL003630,SUP050,ITM0029,CUST0039,WH012,AUD,2023-02-20,2023-04-09,,DELIVERED,167,4,968.92,608.83,161809.64,13.4,PAID,INV688704,Partial shipment
PO014699,POL014699,SUP028,ITM0039,CUST0038,WH012,JPY,2024-12-09,2025-01-22,2025-01-21,DELIVERED,483,351,252.57,163.94,121991.31,7.65,PARTIAL,INV221304,
PO002885,POL002885,SUP049,ITM0146,CUST0054,WH003,CAD,2022-12-31,2023-02-25,2023-03-11,PARTIALLY_DELIVERED,244,7,2189.03,1257.84,534123.32,10.8,UNPAID,INV891850,
PO016585,POL016585,SUP042,ITM0092,CUST0049,WH002,AUD,2022-12-02,2022-12-14,2022-12-17,PENDING,325,0,2097.38,1447.97,681648.5,15.37,UNPAID,INV386668,
PO017383,POL017383,SUP029,ITM0054,CUST0100,WH001,JPY,2022-01-17,2022-03-08,2022-03-23,CANCELLED,318,237,3780.06,2773.35,1202059.08,3.15,OVERDUE,INV118051,
PO002211,POL002211,SUP040,ITM0044,CUST0009,WH008,MXN,2023-08-06,2023-09-09,2023-09-14,CANCELLED,320,86,2619.56,1729.64,838259.2,9.24,PAID,INV446213,
PO015601,POL015601,SUP010,ITM0134,CUST0056,WH019,EUR,2022-08-19,2022-09-19,2022-09-25,PENDING,445,0,501.53,366.97,223180.85,14.79,UNPAID,INV878987,Urgent
PO001078,POL001078,SUP032,ITM0010,CUST0042,WH013,AUD,2023-04-01,2023-04-28,2023-04-24,DELIVERED,495,143,111.23,73.26,55058.85,8.0,OVERDUE,INV971317,
PO005408,POL005408,SUP030,ITM0091,CUST0024,WH005,GBP,2022-06-06,2022-07-22,2022-08-05,PARTIALLY_DELIVERED,479,478,4646.03,2616.7,2225448.37,3.85,PARTIAL,INV496112,Urgent
PO002597,POL002597,SUP047,ITM0134,CUST0066,WH015,CAD,2023-02-28,2023-03-07,,SHIPPED,190,140,3930.3,2221.04,746757.0,6.33,OVERDUE,INV535427,
PO018689,POL018689,SUP029,ITM0145,CUST0036,WH010,GBP,2022-01-08,2022-03-06,2022-03-01,APPROVED,31,12,825.06,554.3,25576.86,8.59,OVERDUE,INV138045,
PO006991,POL006991,SUP011,ITM0148,CUST0099,WH020,INR,2022-01-11,2022-03-05,,APPROVED,66,12,4836.73,3631.52,319224.18,18.38,OVERDUE,INV231322,Urgent
PO013546,POL013546,SUP030,ITM0015,CUST0007,WH008,EUR,2022-05-03,2022-06-16,2022-06-30,CANCELLED,198,58,4321.59,2467.64,855674.82,17.02,PAID,INV640170,
PO014034,POL014034,SUP039,ITM0117,CUST0052,WH005,JPY,2024-02-23,2024-03-31,2024-03-30,CANCELLED,256,184,4678.88,2499.13,1197793.28,19.36,UNPAID,INV523594,Quality issue
PO008067,POL008067,SUP020,ITM0126,CUST0099,WH014,INR,2022-09-02,2022-09-25,2022-09-29,APPROVED,143,92,2898.02,1611.08,414416.86,10.16,PAID,INV170064,Urgent
PO008592,POL008592,SUP003,ITM0001,CUST0048,WH007,GBP,2023-06-14,2023-06-21,2023-06-18,DELIVERED,275,93,2614.82,1959.43,719075.5,8.7,PARTIAL,INV597094,
PO019700,POL019700,SUP014,ITM0005,CUST0030,WH019,INR,2023-03-22,2023-04-20,2023-04-27,SHIPPED,182,131,2538.04,1674.83,461923.28,12.88,UNPAID,INV917003,
PO015635,POL015635,SUP047,ITM0092,CUST0068,WH008,USD,2023-06-02,2023-06-21,,SHIPPED,420,62,253.87,147.85,106625.4,1.5,UNPAID,INV567041,Quality issue
PO019244,POL019244,SUP009,ITM0111,CUST0079,WH015,CAD,2022-11-05,2022-11-13,2022-11-20,SHIPPED,52,34,488.71,245.28,25412.92,1.47,PARTIAL,INV482265,
PO013503,POL013503,SUP004,ITM0012,CUST0026,WH015,CAD,2022-02-01,2022-02-06,2022-02-15,SHIPPED,110,108,1561.27,1160.7,171739.7,12.07,PAID,INV476810,Partial shipment
PO004813,POL004813,SUP027,ITM0079,CUST0049,WH005,CAD,2024-12-16,2024-12-28,,PARTIALLY_DELIVERED,226,180,84.62,65.29,19124.12,12.13,OVERDUE,INV560639,
PO004095,POL004095,SUP046,ITM0010,CUST0085,WH005,GBP,2024-10-25,2024-10-28,2024-11-08,PARTIALLY_DELIVERED,441,178,1077.52,639.62,475186.32,2.98,PAID,INV784928,
PO018558,POL018558,SUP020,ITM0092,CUST0031,WH006,USD,2024-03-23,2024-04-23,2024-05-06,CANCELLED,68,44,3083.61,2139.49,209685.48,11.88,UNPAID,INV911524,
PO004050,POL004050,SUP013,ITM0066,CUST0019,WH013,INR,2024-10-04,2024-10-25,,CANCELLED,105,96,3644.33,2462.3,382654.65,15.35,UNPAID,INV529134,
PO007912,POL007912,SUP010,ITM0094,CUST0038,WH003,JPY,2023-05-24,2023-06-22,2023-06-25,DELIVERED,491,195,3003.57,1578.95,1474752.87,15.69,PARTIAL,INV258615,
PO010213,POL010213,SUP024,ITM0059,CUST0044,WH009,EUR,2023-03-16,2023-04-05,2023-04-08,PENDING,382,0,4089.66,2048.51,1562250.12,18.93,PARTIAL,INV923703,Quality issue
PO011587,POL011587,SUP007,ITM0097,CUST0085,WH002,MXN,2024-12-09,2025-01-14,,CANCELLED,156,33,4146.44,2476.85,646844.64,8.3,OVERDUE,INV609915,
PO010614,POL010614,SUP046,ITM0081,CUST0099,WH017,GBP,2023-11-18,2023-12-10,2023-12-13,DELIVERED,483,83,707.58,542.42,341761.14,13.16,UNPAID,INV372908,
PO011556,POL011556,SUP022,ITM0075,CUST0059,WH016,AUD,2023-04-23,2023-05-10,2023-05-19,SHIPPED,221,32,1233.87,764.7,272685.27,17.97,PAID,INV660903,Partial shipment
PO014565,POL014565,SUP025,ITM0004,CUST0052,WH017,JPY,2022-12-12,2023-02-06,2023-02-19,APPROVED,271,19,2117.68,1592.49,573891.28,2.78,PARTIAL,INV878886,Partial shipment
PO015465,POL015465,SUP014,ITM0068,CUST0051,WH013,JPY,2022-04-09,2022-05-16,2022-05-14,PARTIALLY_DELIVERED,480,418,719.08,497.35,345158.4,19.61,OVERDUE,INV369129,
PO013695,POL013695,SUP048,ITM0041,CUST0096,WH008,EUR,2024-12-08,2025-01-08,,SHIPPED,323,260,1349.0,798.14,435727.0,3.84,OVERDUE,INV461529,Quality issue
PO012698,POL012698,SUP014,ITM0093,CUST0004,WH007,CAD,2024-07-04,2024-07-25,2024-07-21,PARTIALLY_DELIVERED,350,324,4928.9,3257.38,1725115.0,3.58,UNPAID,INV817693,Urgent
PO010287,POL010287,SUP050,ITM0115,CUST0050,WH006,GBP,2023-09-29,2023-11-20,2023-11-18,DELIVERED,129,61,555.31,400.54,71634.99,13.61,PARTIAL,INV461253,Quality issue
PO008045,POL008045,,ITM0082,CUST0046,WH018,AUD,2022-11-04,2022-11-26,2022-12-10,PENDING,147,0,1702.19,1248.79,250221.93,2.14,PARTIAL,INV541144,
PO011804,POL011804,SUP032,ITM0036,CUST0040,WH011,MXN,2023-12-06,2024-01-19,2024-01-20,PENDING,194,0,2610.83,1955.06,506501.02,13.76,PARTIAL,INV382887,
PO002337,POL002337,SUP029,ITM0076,CUST0053,WH013,INR,2024-06-21,2024-07-27,2024-08-03,DELIVERED,460,71,72.7,38.86,33442.0,2.34,OVERDUE,INV635820,
PO012746,POL012746,SUP026,ITM0007,CUST0081,WH016,GBP,2023-04-04,2023-05-30,,SHIPPED,194,66,4678.57,2485.43,907642.58,18.54,PAID,INV837749,Quality issue
PO019262,POL019262,SUP030,ITM0052,CUST0028,WH019,AUD,2022-03-24,2022-04-20,2022-04-26,PENDING,345,0,2580.84,1478.5,890389.8,3.15,UNPAID,INV299156,Urgent
PO012994,POL012994,SUP035,ITM0087,CUST0015,WH008,MXN,2022-12-23,2022-12-27,2022-12-30,APPROVED,225,173,4579.36,3512.52,1030356.0,18.16,PARTIAL,INV174552,Quality issue
PO000195_DUP,POL000195_DUP,SUP004,ITM0079,CUST0037,WH007,USD,2023-09-17,2023-10-13,2023-10-23,DELIVERED,406,93,718.63,528.29,291763.78,16.38,OVERDUE,INV102187,
PO002052,POL002052,SUP005,ITM0049,CUST0052,WH010,GBP,2022-12-14,2023-01-03,2023-01-13,DELIVERED,194,147,1621.53,1175.93,314576.82,16.83,OVERDUE,INV371333,
PO002274,POL002274,SUP047,ITM0087,CUST0091,WH016,INR,2024-03-08,2024-04-20,2024-04-23,SHIPPED,479,199,3732.85,2167.76,1788035.15,18.84,OVERDUE,INV320747,
PO002839,POL002839,SUP012,ITM0134,CUST0060,WH007,GBP,2024-07-11,2024-07-21,2024-07-24,PARTIALLY_DELIVERED,239,37,2512.42,1694.89,600468.38,18.75,UNPAID,INV944967,Partial shipment
PO007517,POL007517,SUP029,ITM0062,CUST0007,WH020,CAD,2022-09-02,2022-10-24,2022-10-31,APPROVED,317,109,1446.14,805.04,458426.38,4.73,PAID,INV950057,
PO013684,POL013684,SUP031,ITM0134,CUST0048,WH013,MXN,2024-09-28,2024-11-14,2024-11-15,APPROVED,90,7,4553.29,2920.86,409796.1,2.41,UNPAID,INV159571,Urgent
PO016653,POL016653,SUP036,ITM0121,CUST0018,WH018,USD,2024-07-17,2024-09-06,,CANCELLED,39,7,2138.16,1258.99,83388.24,12.96,OVERDUE,INV858667,Quality issue
PO012266,POL012266,SUP041,ITM0101,CUST0081,WH008,AUD,2024-09-24,2024-11-08,2024-11-12,APPROVED,174,3,468.21,317.46,81468.54,10.01,PAID,INV420121,
PO005489,POL005489,SUP049,ITM0020,CUST0031,WH019,USD,2022-04-11,2022-04-29,2022-05-12,CANCELLED,209,175,906.71,496.33,189502.39,2.66,PARTIAL,INV294979,
PO009008,POL009008,SUP014,ITM0150,CUST0090,WH001,AUD,2023-06-01,2023-06-10,2023-06-21,APPROVED,266,154,3154.19,2415.34,839014.54,5.02,UNPAID,INV581189,
PO003608,POL003608,SUP050,ITM0035,CUST0045,WH013,INR,2022-01-07,2022-02-11,2022-02-14,APPROVED,358,240,3938.01,2270.58,1409807.58,2.68,PAID,INV690184,
PO012357,POL012357,SUP021,ITM0071,CUST0047,WH012,EUR,2022-12-04,2023-01-30,2023-01-30,PENDING,122,0,4726.15,2863.81,576590.3,11.69,PAID,INV773203,
PO007257,POL007257,SUP018,ITM0048,CUST0047,WH018,USD,2022-01-15,2022-03-06,2022-03-04,CANCELLED,455,139,113.05,62.29,51437.75,16.06,OVERDUE,INV247815,
PO019395,POL019395,SUP017,ITM0062,CUST0057,WH005,EUR,2024-02-13,2024-02-27,2024-03-11,PARTIALLY_DELIVERED,87,13,3231.33,2038.41,281125.71,18.19,UNPAID,INV184048,Quality issue
PO006069,POL006069,-999,ITM0108,CUST0009,WH017,JPY,2022-11-25,2023-01-07,2023-01-15,APPROVED,236,76,1270.09,990.58,299741.24,14.46,OVERDUE,INV969485,
PO015148,POL015148,,ITM0112,CUST0087,WH019,USD,2024-12-17,2025-02-03,2025-02-06,PARTIALLY_DELIVERED,449,341,2627.2,1651.01,1179612.8,11.96,OVERDUE,INV621334,
PO013582,POL013582,SUP027,ITM0047,CUST0010,WH012,MXN,2023-02-11,2023-04-05,,DELIVERED,477,54,3472.83,1914.56,1656539.91,19.9,PARTIAL,INV364676,Partial shipment
PO018139,POL018139,SUP015,ITM0070,CUST0068,WH014,MXN,2024-03-27,2024-05-17,,CANCELLED,10,8,3009.86,2026.9,30098.6,3.81,UNPAID,INV858474,
PO003270,POL003270,SUP039,ITM0141,CUST0058,WH003,CAD,2022-12-21,2022-12-29,2022-12-25,SHIPPED,90,88,958.54,707.03,86268.6,5.75,PAID,INV866686,
PO011571,POL011571,SUP037,ITM0062,CUST0037,WH006,CAD,2022-08-13,2022-09-09,2022-09-15,SHIPPED,425,194,2000.91,1316.48,850386.75,7.04,PARTIAL,INV764706,
PO002560,POL002560,SUP049,ITM0078,CUST0044,WH020,INR,2024-05-09,2024-05-13,2024-05-23,CANCELLED,32,23,704.01,484.69,22528.32,10.76,OVERDUE,INV544029,Quality issue
PO004600,POL004600,SUP001,ITM0106,CUST0057,WH001,INR,2023-06-06,2023-06-25,2023-07-02,PENDING,155,0,692.61,360.04,107354.55,12.31,PAID,INV477445,
PO009970,POL009970,SUP020,ITM0149,CUST0056,WH009,EUR,2022-06-06,2022-07-20,2022-08-04,SHIPPED,387,34,116.04,59.64,44907.48,3.17,OVERDUE,INV452261,
PO016520,POL016520,SUP034,ITM0146,CUST0005,WH019,USD,2024-08-06,2024-09-06,2024-09-11,CANCELLED,64,40,4255.0,2345.62,272320.0,1.57,UNPAID,INV557822,Urgent
PO002965,POL002965,SUP031,ITM0112,CUST0082,WH006,GBP,2022-07-25,2022-08-19,2022-08-24,PARTIALLY_DELIVERED,233,161,4835.27,3780.14,1126617.91,7.62,UNPAID,INV325724,Urgent
PO002833,POL002833,SUP034,ITM0013,CUST0043,WH015,GBP,2022-11-17,2023-01-16,2023-01-27,PARTIALLY_DELIVERED,469,176,1631.37,1206.97,765112.53,12.35,PARTIAL,INV102069,
PO003484,POL003484,SUP015,ITM0047,CUST0022,WH017,INR,2023-04-28,2023-06-21,,DELIVERED,301,160,2302.6,1353.89,693082.6,7.09,UNPAID,INV961424,
PO018771,POL018771,SUP017,ITM0024,CUST0066,WH011,MXN,2023-03-16,2023-04-24,2023-04-28,SHIPPED,391,25,3207.32,1633.87,1254062.12,1.12,OVERDUE,INV462235,Partial shipment
PO018779,POL018779,SUP047,ITM0005,CUST0032,WH016,MXN,2022-10-24,2022-11-12,2022-11-18,PARTIALLY_DELIVERED,453,64,2261.15,1529.23,1024300.95,19.22,PARTIAL,INV686856,Quality issue
PO002235,POL002235,SUP021,ITM0013,CUST0033,WH001,JPY,2024-10-25,2024-12-16,2024-12-22,DELIVERED,40,36,3330.48,2506.25,133219.2,4.29,PAID,INV186619,
PO013832,POL013832,SUP034,ITM0124,CUST0080,WH004,GBP,2022-01-04,2022-02-18,,SHIPPED,463,344,2080.04,1615.91,963058.52,6.01,PARTIAL,INV578004,Urgent
PO007996,POL007996,SUP007,ITM0017,CUST0046,WH012,EUR,2023-03-19,2023-05-12,2023-05-07,PARTIALLY_DELIVERED,311,224,3197.63,1919.45,994462.93,16.59,UNPAID,INV170373,Urgent
PO001737,POL001737,SUP044,ITM0023,CUST0061,WH001,USD,2022-11-12,2022-12-01,,CANCELLED,447,157,1947.05,1110.81,870331.35,11.18,UNPAID,INV927624,Partial shipment
PO019174,POL019174,SUP026,ITM0025,CUST0013,WH008,EUR,2023-12-11,2024-02-09,,APPROVED,191,172,3932.52,2658.88,751111.32,10.58,OVERDUE,INV705839,Urgent
PO005114,POL005114,SUP003,ITM0004,CUST0076,WH011,EUR,2023-06-29,2023-08-13,2023-08-24,PARTIALLY_DELIVERED,388,204,2629.93,1339.08,1020412.84,15.61,PARTIAL,INV945440,Urgent
PO003862,POL003862,SUP034,ITM0010,CUST0056,WH013,INR,2023-09-16,2023-11-14,2023-11-28,PENDING,-999,0,1727.28,1191.8,637366.32,0.5,OVERDUE,INV344254,Urgent
PO000889,POL000889,SUP040,ITM0091,CUST0085,WH007,MXN,2022-02-24,2022-04-06,2022-04-19,SHIPPED,402,120,1234.43,664.55,496240.86,2.97,UNPAID,INV771022,
PO003188,POL003188,SUP026,ITM0018,CUST0084,WH004,JPY,2024-06-21,2024-07-29,2024-08-06,APPROVED,351,48,2219.17,1361.18,778928.67,19.15,PARTIAL,INV716200,Urgent
PO017788,POL017788,SUP019,ITM0063,CUST0051,WH017,INR,2023-08-19,2023-10-03,2023-10-01,SHIPPED,INVALID,200,3922.24,2411.41,945259.84,16.92,PAID,INV636976,
PO000218,POL000218,SUP028,ITM0089,CUST0026,WH007,USD,2022-01-17,2022-02-22,2022-02-21,PENDING,122,0,2538.0,1904.9,309636.0,12.81,UNPAID,INV923408,
PO002862,POL002862,SUP021,ITM0070,CUST0040,WH007,EUR,2023-05-08,2023-07-01,2023-07-10,PARTIALLY_DELIVERED,332,15,3352.45,2190.33,1113013.4,0.08,PARTIAL,INV920577,Urgent
PO003729,POL003729,SUP031,ITM0100,CUST0099,WH017,JPY,2022-12-21,2022-12-30,2023-01-12,CANCELLED,51,25,3874.87,1983.62,197618.37,16.15,PARTIAL,INV941868,Partial shipment
PO010984,POL010984,SUP002,ITM0087,CUST0067,WH009,USD,2022-05-04,2022-06-27,2022-06-24,CANCELLED,60,33,367.45,197.48,22047.0,13.39,OVERDUE,INV952310,Urgent
PO009487,POL009487,SUP011,ITM0015,CUST0018,WH010,MXN,2022-02-17,2022-04-10,2022-04-16,SHIPPED,143,108,4691.98,2391.94,670953.14,0.02,OVERDUE,INV953836,
PO005170,POL005170,SUP035,ITM0103,CUST0009,WH002,JPY,2023-11-03,2023-12-06,2023-12-07,DELIVERED,49,21,3929.69,2453.92,192554.81,3.76,OVERDUE,INV122222,
PO011550,POL011550,SUP005,ITM0088,CUST0020,WH008,JPY,2023-07-24,2023-08-23,2023-08-22,APPROVED,152,148,1901.29,1484.04,288996.08,17.78,OVERDUE,INV296976,Partial shipment
PO007515,POL007515,SUP037,ITM0098,CUST0091,WH009,AUD,2023-09-29,2023-11-09,2023-11-04,DELIVERED,386,185,4807.52,3285.77,1855702.72,8.08,PARTIAL,INV910624,
PO012455,POL012455,SUP044,ITM0035,CUST0082,WH018,USD,2022-10-26,2022-11-15,,PENDING,349,0,4736.73,3025.01,1653118.77,13.27,OVERDUE,INV106565,Partial shipment
PO016030,POL016030,SUP018,ITM0119,CUST0063,WH001,INR,2023-10-28,2023-12-22,,SHIPPED,399,54,757.55,383.79,302262.45,19.62,PAID,INV974966,Urgent
PO019126,POL019126,SUP008,ITM0072,CUST0064,WH004,AUD,2024-03-25,2024-03-30,2024-04-01,DELIVERED,425,369,2760.24,1944.32,1173102.0,4.29,UNPAID,INV754786,
PO007685,POL007685,SUP023,ITM0105,CUST0069,WH015,CAD,2023-12-31,2024-01-22,,DELIVERED,162,133,3170.91,2268.03,513687.42,12.78,OVERDUE,INV701196,Quality issue
PO016987,POL016987,SUP013,ITM0113,CUST0037,WH014,MXN,2024-08-25,2024-10-15,2024-10-24,CANCELLED,242,92,398.46,289.97,96427.32,16.89,PARTIAL,INV197570,
PO009488,POL009488,SUP039,ITM0028,CUST0034,WH002,MXN,2024-03-11,2024-03-20,2024-03-22,APPROVED,163,77,629.81,436.7,102659.03,13.79,UNPAID,INV882878,Partial shipment
PO004773,POL004773,SUP006,ITM0117,CUST0041,WH012,AUD,2023-05-18,2023-06-23,,CANCELLED,308,149,2208.15,1380.79,680110.2,16.3,UNPAID,INV326916,
PO013177,POL013177,SUP003,ITM0014,CUST0013,WH010,CAD,2023-11-20,2023-12-16,2023-12-29,SHIPPED,87,5,2054.04,1433.15,178701.48,18.26,UNPAID,INV282450,
PO009668,POL009668,SUP044,ITM0058,CUST0082,WH018,INR,2023-03-08,2023-03-24,2023-03-28,DELIVERED,479,419,3319.11,2181.66,1589853.69,14.42,OVERDUE,INV534219,Urgent
PO014450,POL014450,SUP012,ITM0001,CUST0046,WH011,CAD,2024-07-08,2024-08-11,2024-08-16,CANCELLED,6,5,3028.71,1722.3,18172.26,2.25,UNPAID,INV341740,
PO008086,POL008086,SUP035,ITM0041,CUST0065,WH012,AUD,2024-01-28,2024-03-07,2024-03-11,DELIVERED,260,4,1218.03,889.54,316687.8,1.71,PAID,INV442020,
PO013675,POL013675,SUP019,ITM0120,CUST0094,WH020,EUR,2024-12-26,2025-02-04,,CANCELLED,12,10,4790.51,3572.1,57486.12,6.02,PARTIAL,INV388142,Urgent
PO009743,POL009743,SUP016,ITM0136,CUST0041,WH016,EUR,2023-08-27,2023-10-18,2023-10-19,DELIVERED,204,26,3642.66,2545.07,743102.64,1.66,PAID,INV382386,Urgent
PO015112,POL015112,SUP020,ITM0065,CUST0086,WH011,GBP,2022-08-29,2022-09-04,2022-09-01,APPROVED,103,2,2248.01,1797.88,231545.03,5.31,PAID,INV984569,
